Ideal_Sum	Received_Signal
298.355669905183	254.265922100486
301.450930836143	308.228801895192
293.385392434395	245.79210178355
295.31511772988	271.530856628018
290.501013230778	338.184471902227
287.852503396192	358.139675075252
296.480643331978	282.11981673362
298.167036715197	306.815236411087
297.567980749708	292.317612685185
298.336318778755	271.429812306144
293.166120382084	278.837763930561
301.536082607121	331.221355464565
292.009072877147	276.231891263023
301.159340853085	260.87523854684
292.913690241878	253.026105999374
293.650361603439	340.55839152715
299.951221727044	338.479060635975
293.85437342955	357.92410583819
297.852878098328	320.155290218139
299.038723971883	267.068356207243
298.737910916264	360.066086148405
298.388030958499	270.729482772197
298.306975859365	300.654614468718
296.620992532389	212.487923441127
295.752978135323	295.303339985081
295.438846670724	292.296198678739
295.776443215681	234.840829229266
298.547115134239	300.066722400127
298.208066199781	307.838410713126
295.093754181032	336.618891061598
304.659204705611	281.559810459233
300.230321801192	272.979140475246
300.002609950475	341.949301492994
291.95834368521	380.362159240158
288.771933095591	307.603286704272
293.050459071645	302.163868510895
297.080442620638	323.997123569444
302.343688858923	305.37498294487
293.618889309617	288.907292619919
297.076563802699	323.391846251
296.465999087026	318.248806984133
288.356662737929	294.965938586674
304.130806106258	323.428352570442
296.638240724762	321.463166340468
301.474786571192	259.814252059941
294.827835235791	255.515412970158
300.955739182889	276.978634128756
294.154074956886	324.599800519555
298.931891493025	272.274570224709
293.514994602603	312.125987771223
296.362858482392	344.075846746284
296.18170348572	267.403855339896
298.309885516237	268.668586427621
301.207432450637	316.106659051133
299.079758513792	319.76741540264
296.953492332321	275.718468402437
295.998055610393	278.619258492041
298.474248391314	350.024817824139
296.869257486553	284.272816493472
300.547647595557	298.770482696996
300.261373206343	340.93639369897
296.465659345808	278.998834771594
296.449761975094	292.171618075628
294.449822612164	299.208811543676
303.539947138724	298.809061658887
297.922093554231	332.227803791177
298.460438749209	312.311377550462
296.976883557692	295.001943757845
295.180264774011	369.91014882625
299.300497748972	296.128277670294
294.454816969912	287.506659016715
299.849683243709	289.116519971043
300.687391902541	249.243109715594
297.539198858034	294.61709496602
296.139424381876	286.454993748365
291.416485878148	311.804387069186
294.45264332341	289.344663244725
291.155136896023	339.837045968551
293.403645272539	301.156448483622
299.681260482245	314.344203299324
297.842162801141	321.102621783108
305.313083189871	277.540386217451
296.272171324216	322.882123729603
295.884734227283	290.890394879797
299.714071721074	331.700197067233
299.55083213058	298.704858619675
301.571077709998	293.180363236278
302.35666853317	252.966262422477
300.046171817538	261.526925509246
299.713358027436	295.123069274745
292.450295896987	277.723959577906
298.412149320744	297.47428225249
301.121123687937	285.955719830981
303.20785525426	291.14182799645
295.191588343887	336.071959061986
301.937237366182	303.427075230888
291.215160916338	313.036109527796
291.162095592446	280.46597727351
293.247858314142	335.184370930138
298.378842583927	336.010936375243
296.445336257205	279.695705355046
299.986938308943	289.596929448829
300.63455599894	339.053125169206
291.178758889085	289.019425643096
297.651761028781	293.43736137293
297.8443219363	327.101748447884
293.548506695627	285.173013038729
295.318144680342	328.14880339007
302.015462210156	341.649921894134
291.57674760273	292.116667598541
299.2057245416	224.867516253964
294.784760007211	293.464732339378
292.578010074086	290.040968949729
297.113769367196	276.202110403995
299.345101707117	287.409899296586
294.539561184407	246.446188891822
295.341704313507	292.409346270384
291.60636967698	315.568098569824
303.509848911082	248.540580006275
292.173902489293	271.145811613149
297.812646265583	292.937268852137
303.524746090233	328.537603888365
302.018810213371	283.69854803057
294.098194314945	369.615596796267
297.049673711614	292.747865617403
295.58482784792	305.982455646085
295.346735827266	256.862744555263
294.31669556046	318.95709564554
293.602313048624	325.283012221952
298.077556698043	263.865434868811
293.249777550427	259.957795644526
299.863392299065	297.324556473471
301.644698422841	312.450898763513
301.32417020592	323.858280489373
301.243411241574	347.568218965977
297.673095554217	318.123453731331
294.897794444554	351.750228482507
296.763755078434	310.763757910975
294.894103189065	300.476603122695
294.285922255287	358.237200694198
294.235027179261	352.288867584377
296.410163391042	334.262746149365
294.241885878458	274.436436206461
296.306459816728	272.56749665267
294.751414165942	322.406508741352
296.497394937713	282.506828189021
290.130379424513	275.721158589076
303.082911843458	282.605833287699
298.251674180016	343.021735752973
296.642947917276	323.24463380417
298.358658340155	297.156267185234
300.594217364915	241.64389641396
301.635917414901	306.69680400932
297.22749075243	327.277500211257
296.903560257013	254.021249891946
296.859984903719	299.222549370474
294.381819831335	335.559754638786
300.093521206088	342.948188261091
293.708648259102	296.149805946512
292.814567088412	256.598407242407
299.726916166194	325.484138666497
306.084046522	297.189376365177
301.458988706529	303.188418702401
297.311894200875	245.15773469459
300.165945797148	305.630339313841
294.591210503862	348.676547289656
297.796067641837	281.58451051172
297.627775940514	302.053038016235
301.925349750689	302.4860263178
301.440950726664	294.414341792536
292.290808349304	295.583753414322
304.559239799753	328.268015431741
291.904568434335	316.648751174352
297.706647381802	301.604863217692
294.757143669694	324.958214802333
300.011983784634	288.459652168429
302.448485927752	300.011542701479
301.476719493845	311.008162650464
300.99436292244	270.139852636557
300.226104522277	270.341869919294
294.196536858257	316.205911295731
299.257232398901	343.654277125609
301.857554102305	279.990673113731
294.718026685807	252.769575256833
296.199913531837	282.405085358161
298.328675977416	305.518247874281
299.318380059588	258.252082104885
295.981071945826	359.780171541328
296.462066661331	263.930554540047
298.004394679823	374.369654888146
293.254700127994	242.318615716056
297.012337247839	305.343156675406
292.45957830502	281.735769439612
296.422249155666	262.767815079076
293.186200443473	315.10246016854
295.071780085746	312.337391971795
295.483263983619	304.014583593341
298.342831099725	307.081766160717
292.560149240317	297.777448386804
297.59664079795	316.418733319273
302.332455527656	314.882025436866
297.96381361474	342.976721916003
293.890262847049	323.833165527603
294.170857113986	284.416129704614
295.748315797374	304.406655231189
297.657840737789	326.9743425257
295.186040789074	328.297633389022
290.546886439489	260.902159538373
295.22079368028	297.346171330006
299.14419458656	325.992545519374
294.747755965506	340.549933318068
