SNR_dB	RollOff	MSE
-1	0.80	5.015905e+00
-1	0.85	4.995677e+00
-1	0.90	4.852747e+00
-1	0.95	4.952796e+00
-1	1.00	4.975385e+00

0	0.00	5.675201e+00
0	0.05	5.571986e+00
0	0.10	4.896057e+00
0	0.15	4.146013e+00
0	0.20	3.907419e+00
0	0.25	4.038165e+00
0	0.30	3.996781e+00
0	0.35	4.040990e+00
0	0.40	4.095823e+00
0	0.45	3.942297e+00
0	0.50	3.967405e+00
0	0.55	3.898487e+00
0	0.60	4.092556e+00
0	0.65	4.068594e+00
0	0.70	4.038724e+00
0	0.75	3.909803e+00
0	0.80	3.991024e+00
0	0.85	4.084674e+00
0	0.90	3.934768e+00
0	0.95	3.966094e+00
0	1.00	4.067114e+00

1	0.00	4.965433e+00
1	0.05	5.078180e+00
1	0.10	3.691741e+00
1	0.15	3.218094e+00
1	0.20	3.203174e+00
1	0.25	3.509447e+00
1	0.30	3.357093e+00
1	0.35	3.151140e+00
1	0.40	3.210576e+00
1	0.45	3.235727e+00
1	0.50	3.047531e+00
1	0.55	3.254463e+00
1	0.60	3.390149e+00
1	0.65	3.302727e+00
1	0.70	3.253986e+00
1	0.75	3.388786e+00
1	0.80	3.244932e+00
1	0.85	3.214672e+00
1	0.90	3.210107e+00
1	0.95	3.283621e+00
1	1.00	3.267521e+00

2	0.00	4.490823e+00
2	0.05	4.480398e+00
2	0.10	3.308324e+00
2	0.15	2.578921e+00
2	0.20	2.591979e+00
2	0.25	2.706331e+00
2	0.30	2.719859e+00
2	0.35	2.579198e+00
2	0.40	2.661567e+00
2	0.45	2.629126e+00
2	0.50	2.696259e+00
2	0.55	2.728647e+00
2	0.60	2.641126e+00
2	0.65	2.769019e+00
2	0.70	2.683655e+00
2	0.75	2.561789e+00
2	0.80	2.758178e+00
2	0.85	2.707347e+00
2	0.90	2.667982e+00
2	0.95	2.730327e+00
2	1.00	2.815838e+00

3	0.00	3.836826e+00
3	0.05	3.988005e+00
3	0.10	2.887774e+00
3	0.15	2.376541e+00
3	0.20	2.209891e+00
3	0.25	2.302553e+00
3	0.30	2.291701e+00
3	0.35	2.160465e+00
3	0.40	2.192661e+00
3	0.45	2.247034e+00
3	0.50	2.036802e+00
3	0.55	2.252211e+00
3	0.60	2.176968e+00
3	0.65	2.160124e+00
3	0.70	2.131106e+00
3	0.75	2.149576e+00
3	0.80	2.173487e+00
3	0.85	2.155897e+00
3	0.90	2.119055e+00
3	0.95	2.157481e+00
3	1.00	2.142897e+00

4	0.00	3.489681e+00
4	0.05	3.712398e+00
4	0.10	2.751264e+00
4	0.15	1.914342e+00
4	0.20	1.778300e+00
4	0.25	1.910173e+00
